JUDUL,KATEGORI,tokens,stemmed
kata prabowo soal siapa menko polkam dan menpora,Politik,"['prabowo', 'menko', 'polkam', 'menpora']",prabowo menko polkam menpora
influencer as charlie kirk tewas ditembak polisi buru pelaku,Politik,"['influencer', 'as', 'charlie', 'kirk', 'tewas', 'ditembak', 'polisi', 'buru', 'pelaku']",influencer as charlie kirk tewas tembak polisi buru laku
dari jakarta ke kathmandu bajak laut one piece berkibar,Politik,"['jakarta', 'kathmandu', 'bajak', 'laut', 'one', 'piece', 'berkibar']",jakarta kathmandu bajak laut one piece kibar
video ma thailand vonis thaksin harus kembali dipenjara  tahun,Politik,"['video', 'ma', 'thailand', 'vonis', 'thaksin', 'dipenjara']",video ma thailand vonis thaksin penjara
siapa menjarah rumah anggota dewan,Politik,"['menjarah', 'rumah', 'anggota', 'dewan']",jarah rumah anggota dewan
melihat lebih dalam revolusi kelas menengah,Politik,"['revolusi', 'kelas', 'menengah']",revolusi kelas tengah
melipat jarak politik,Politik,"['melipat', 'jarak', 'politik']",lipat jarak politik
alasan anisa bahar nyaleg berujung gagal terpilih,Politik,"['alasan', 'anisa', 'bahar', 'nyaleg', 'berujung', 'gagal', 'terpilih']",alas anisa bahar nyaleg ujung gagal pilih
apa itu anarko ini bedanya dengan anarki anarkis dan anarkisme,Politik,"['anarko', 'bedanya', 'anarki', 'anarkis', 'anarkisme']",anarko beda anarki anarkis anarkisme
misi meredam gejolak demonstrasi,Politik,"['misi', 'meredam', 'gejolak', 'demonstrasi']",misi redam gejolak demonstrasi
kronik kerusuhan empat hari di jakarta,Politik,"['kronik', 'kerusuhan', 'jakarta']",kronik rusuh jakarta
gerindra panggil anggota dprd sumut dugem saat banyak demo besok,Politik,"['gerindra', 'panggil', 'anggota', 'dprd', 'sumut', 'dugem', 'demo', 'besok']",gerindra panggil anggota dprd sumut dugem demo besok
joko anwar soroti akar masalah di balik gelombang demo ini akumulasi,Politik,"['joko', 'anwar', 'soroti', 'akar', 'gelombang', 'demo', 'akumulasi']",joko anwar sorot akar gelombang demo akumulasi
agenda kunker komisi  dprd medan ditelusuri jaksa yang usut kasus pemerasan,Politik,"['agenda', 'kunker', 'komisi', 'dprd', 'medan', 'ditelusuri', 'jaksa', 'usut', 'pemerasan']",agenda kunker komisi dprd medan telusur jaksa usut peras
jaksa cecar belasan pertanyaan ke ketua komisi  dprd medan di kasus pemerasan,Politik,"['jaksa', 'cecar', 'belasan', 'ketua', 'komisi', 'dprd', 'medan', 'pemerasan']",jaksa cecar bas ketua komisi dprd medan peras
lingkaran setan biaya politik,Politik,"['lingkaran', 'setan', 'biaya', 'politik']",lingkar setan biaya politik
ugm coret acara roy suryo cs isi buku jokowis white paper akhirnya dispill,Politik,"['ugm', 'coret', 'acara', 'roy', 'suryo', 'cs', 'isi', 'buku', 'jokowis', 'white', 'paper', 'dispill']",ugm coret acara roy suryo cs isi buku jokowis white paper dispill
hasto kembali jadi sekjen puan harap pdip makin solid,Politik,"['hasto', 'sekjen', 'puan', 'harap', 'pdip', 'solid']",hasto sekjen puan harap pdip solid
mencerna makna gibran dan dasco berfoto di meja makan,Politik,"['mencerna', 'makna', 'gibran', 'dasco', 'berfoto', 'meja', 'makan']",cerna makna gibran dasco foto meja makan
gelar rakernas nasdem targetkan masuk  besar di pemilu ,Politik,"['gelar', 'rakernas', 'nasdem', 'targetkan', 'masuk', 'pemilu']",gelar rakernas nasdem target masuk milu
membaca arah dukungan projo,Politik,"['membaca', 'arah', 'dukungan', 'projo']",baca arah dukung projo
ragam komentar legislator usai pemilu dipisah digugat lagi ke mk,Politik,"['ragam', 'komentar', 'legislator', 'pemilu', 'dipisah', 'digugat', 'mk']",ragam komentar legislator milu pisah gugat mk
setelah hukuman hasto disetip,Politik,"['hukuman', 'hasto', 'disetip']",hukum hasto setip
pdip jadi penyeimbang pkb megawati punya hak menentukan posisi,Politik,"['pdip', 'penyeimbang', 'pkb', 'megawati', 'hak', 'menentukan', 'posisi']",pdip imbang pkb megawati hak tentu posisi
mensesneg soal isu munaslub golkar jangan dikaitkan dengan istana,Politik,"['mensesneg', 'isu', 'munaslub', 'golkar', 'dikaitkan', 'istana']",mensesneg isu munaslub golkar kait istana
terungkap pesan prabowo ke megapuan lewat dasco,Politik,"['terungkap', 'pesan', 'prabowo', 'megapuan', 'dasco']",ungkap pesan prabowo megapuan dasco
pks hargai posisi politik pdip perlu ada penyeimbang pemerintah,Politik,"['pks', 'hargai', 'posisi', 'politik', 'pdip', 'penyeimbang', 'pemerintah']",pks harga posisi politik pdip imbang perintah
menimbang makna pdip sebagai penyeimbang,Politik,"['menimbang', 'makna', 'pdip', 'penyeimbang']",timbang makna pdip imbang
dasco sampaikan pesan prabowo saat bertemu megawatipuan ini isinya,Politik,"['dasco', 'pesan', 'prabowo', 'bertemu', 'megawatipuan', 'isinya']",dasco pesan prabowo temu megawatipuan isi
trump pecat pejabat yang infokan data buruk soal lapangan kerja,Politik,"['trump', 'pecat', 'pejabat', 'infokan', 'data', 'buruk', 'lapangan', 'kerja']",trump pecat jabat info data buruk lapang kerja
kepala daerah dipilih dprd efektif atau kemunduran demokrasi,Politik,"['kepala', 'daerah', 'dipilih', 'dprd', 'efektif', 'kemunduran', 'demokrasi']",kepala daerah pilih dprd efektif mundur demokrasi
sby negara kuat bisa jatuh karena pemimpin letakkan diri di atas hukum,Politik,"['sby', 'negara', 'kuat', 'jatuh', 'pemimpin', 'letakkan', 'hukum']",sby negara kuat jatuh pimpin letak hukum
ibas tegaskan demokrat tak berkaitan dengan polemik ijazah palsu jokowi,Politik,"['ibas', 'tegaskan', 'demokrat', 'berkaitan', 'polemik', 'ijazah', 'palsu', 'jokowi']",ibas tegas demokrat kait polemik ijazah palsu jokowi
cak imin usul gubernur dipilih pusat bahlil golkar bicara itu duluan,Politik,"['cak', 'imin', 'usul', 'gubernur', 'dipilih', 'pusat', 'bahlil', 'golkar', 'bicara', 'duluan']",cak imin usul gubernur pilih pusat bahlil golkar bicara duluan
pan tak ada jaminan ubah sistem pilkada akan kurangi money politics,Politik,"['pan', 'jaminan', 'ubah', 'sistem', 'pilkada', 'kurangi', 'money', 'politics']",pan jamin ubah sistem pilkada kurang money politics
kata pdip soal jadwal kongres usai hasto divonis  tahun penjara,Politik,"['pdip', 'jadwal', 'kongres', 'hasto', 'divonis', 'penjara']",pdip jadwal kongres hasto vonis penjara
tren politik kakakadik antarpartai,Politik,"['tren', 'politik', 'kakakadik', 'antarpartai']",tren politik kakakadik antarpartai
jalan panjang psi menuju perubahan,Politik,"['jalan', 'psi', 'perubahan']",jalan psi ubah
kata prabowo soal pdipgerindra bersaudara,Politik,"['prabowo', 'pdipgerindra', 'bersaudara']",prabowo pdipgerindra saudara
pakar ugm sorot rangkap jabatan wakil menteri merusak demokrasi,Politik,"['pakar', 'ugm', 'sorot', 'rangkap', 'jabatan', 'wakil', 'menteri', 'merusak', 'demokrasi']",pakar ugm sorot rangkap jabat wakil menteri rusak demokrasi
direktur ppi pidato politik jokowi tanda sudah resmi log in psi,Politik,"['direktur', 'ppi', 'pidato', 'politik', 'jokowi', 'tanda', 'resmi', 'log', 'in', 'psi']",direktur ppi pidato politik jokowi tanda resmi log in psi
kabar jokowi sehat walafiat usai liburan diungkap ajudan,Politik,"['kabar', 'jokowi', 'sehat', 'walafiat', 'liburan', 'diungkap', 'ajudan']",kabar jokowi sehat walafiat libur ungkap ajudan
ketum sebut ormas gerakan rakyat belum mendesak dijadikan parpol,Politik,"['ketum', 'ormas', 'gerakan', 'rakyat', 'mendesak', 'dijadikan', 'parpol']",tum ormas gera rakyat desak jadi parpol
superman terlalu kiri jadi dosa di mata kanan,Politik,"['superman', 'kiri', 'dosa', 'mata', 'kanan']",superman kiri dosa mata kanan
cemas pemilu  tak serentak,Politik,"['cemas', 'pemilu', 'serentak']",cemas milu serentak
ahy pak sby pilih jalan seni karena politik kadang gagal menjangkau,Politik,"['ahy', 'sby', 'pilih', 'jalan', 'seni', 'politik', 'kadang', 'gagal', 'menjangkau']",ahy sby pilih jalan seni politik kadang gagal jangkau
dubes iran untuk indonesia kami pernah berperang delapan tahun,Politik,"['dubes', 'iran', 'indonesia', 'berperang', 'delapan']",dubes iran indonesia perang delapan
operasi mossad di jantung pertahanan iran,Politik,"['operasi', 'mossad', 'jantung', 'pertahanan', 'iran']",operasi mossad jantung tahan iran
penjelasan teuku rassya makin aktif bisnis dan belajar politik,Politik,"['penjelasan', 'teuku', 'rassya', 'aktif', 'bisnis', 'belajar', 'politik']",jelas teuku rassya aktif bisnis ajar politik
banjir penolakan penulisan sejarah resmi,Politik,"['banjir', 'penolakan', 'penulisan', 'sejarah', 'resmi']",banjir tolak tulis sejarah resmi
gaduh partai ummat diprotes  dpw jatim tetap setia ke amien rais,Politik,"['gaduh', 'partai', 'ummat', 'diprotes', 'dpw', 'jatim', 'setia', 'amien', 'rais']",gaduh partai ummat protes dpw jatim setia amien rais
asalusul penulisan ulang sejarah indonesia,Politik,"['asalusul', 'penulisan', 'ulang', 'sejarah', 'indonesia']",asalusul tulis ulang sejarah indonesia
kemendagri evaluasi menyeluruh soal polemik sengketa  pulau acehsumut,Politik,"['kemendagri', 'evaluasi', 'polemik', 'sengketa', 'pulau', 'acehsumut']",kemendagri evaluasi polemik sengketa pulau acehsumut
dede yusuf minta polemik  pulau acehsumut tak dibawa ke ranah politik,Politik,"['dede', 'yusuf', 'polemik', 'pulau', 'acehsumut', 'dibawa', 'ranah', 'politik']",dede yusuf polemik pulau acehsumut bawa ranah politik
anies minta anak muda tak jauhi politik singgung polemik tambang di raja ampat,Politik,"['anies', 'anak', 'muda', 'jauhi', 'politik', 'singgung', 'polemik', 'tambang', 'raja', 'ampat']",anies anak muda jauh politik singgung polemik tambang raja ampat
perang dengan trump elon musk harusnya belajar dari jack ma,Politik,"['perang', 'trump', 'elon', 'musk', 'belajar', 'jack', 'ma']",perang trump elon musk ajar jack ma
ppp hormati jokowi pilih psi kami tak pernah melamarnya jadi caketum,Politik,"['ppp', 'hormati', 'jokowi', 'pilih', 'psi', 'melamarnya', 'caketum']",ppp hormat jokowi pilih psi lamar caketum
megawati singgung ada perbedaan dengan fadli zon,Politik,"['megawati', 'singgung', 'perbedaan', 'fadli', 'zon']",megawati singgung beda fadli zon
politik pilgub bali diduga bikin seniman petruk diblokir tampil di pkb,Politik,"['politik', 'pilgub', 'bali', 'diduga', 'bikin', 'seniman', 'petruk', 'diblokir', 'tampil', 'pkb']",politik pilgub bal duga bikin seniman truk blokir tampil pkb
video dasco soal peluang pdip gabung kabinet belum ada pembahasan,Politik,"['video', 'dasco', 'peluang', 'pdip', 'gabung', 'kabinet', 'pembahasan']",video dasco peluang pdip gabung kabinet bahas
berebut takhta ppp,Politik,"['berebut', 'takhta', 'ppp']",rebut takhta ppp
adian respons survei popularitas ipo pesan ibu megawati bergema,Politik,"['adian', 'respons', 'survei', 'popularitas', 'ipo', 'pesan', 'megawati', 'bergema']",adi respons survei popularitas ipo pesan megawati gema
ace hasan soal dana parpol dari apbn partai perlu perhatian negara,Politik,"['ace', 'hasan', 'dana', 'parpol', 'apbn', 'partai', 'perhatian', 'negara']",ace hasan dana parpol apbn partai perhati negara
dikaitkan ke isu judol pdip ultimatum budi arie minta maaf x jam,Politik,"['dikaitkan', 'isu', 'judol', 'pdip', 'ultimatum', 'budi', 'arie', 'maaf', 'x', 'jam']",kait isu judol pdip ultimatum budi arie maaf x jam
pd serahkan ke pemerintah soal ide tambahan dana parpol pahami efisiensi,Politik,"['pd', 'serahkan', 'pemerintah', 'ide', 'tambahan', 'dana', 'parpol', 'pahami', 'efisiensi']",pd serah perintah ide tambah dana parpol paham efisiensi
ketum soksi tolak jika ada munaslub golkar tak boleh terjadi,Politik,"['ketum', 'soksi', 'tolak', 'munaslub', 'golkar']",tum soksi tolak munaslub golkar
video prabowo siapapun yang ingin perbaiki bangsa siap terjun ke politik,Politik,"['video', 'prabowo', 'perbaiki', 'bangsa', 'terjun', 'politik']",video prabowo baik bangsa terjun politik
sinyal pertemuan lagi usai prabowo disebut kangen nasgor megawati,Politik,"['sinyal', 'pertemuan', 'prabowo', 'kangen', 'nasgor', 'megawati']",sinyal temu prabowo kangen nasgor megawati
sampai nanti hasan nasbi,Politik,"['hasan', 'nasbi']",hasan nasbi
video surya paloh singgung ada pihak mabuk kekuasaan harusnya tahu diri,Politik,"['video', 'surya', 'paloh', 'singgung', 'mabuk', 'kekuasaan']",video surya paloh singgung mabuk kuasa
apa itu trias politica ini penemu prinsip dan pengaruhnya di indonesia,Politik,"['trias', 'politica', 'penemu', 'prinsip', 'pengaruhnya', 'indonesia']",trias politica temu prinsip pengaruh indonesia
ramai militer masuk kampus pakar ugm sorot kebebasan berpendapat dan respons dpr,Politik,"['ramai', 'militer', 'masuk', 'kampus', 'pakar', 'ugm', 'sorot', 'kebebasan', 'berpendapat', 'respons', 'dpr']",ramai militer masuk kampus pakar ugm sorot bebas dapat respons dpr
sering kritik penguasa fedi nuril ungkap alasannya,Politik,"['kritik', 'penguasa', 'fedi', 'nuril', 'alasannya']",kritik kuasa fedi nuril alas
arahan terbaru prabowo agar menterimenterinya rapatkan barisan,Politik,"['arahan', 'terbaru', 'prabowo', 'menterimenterinya', 'rapatkan', 'barisan']",arah baru prabowo menterimenterinya rapat baris
nyatakan dukung prabowo capres  pan siap bicara pos wapres,Politik,"['nyatakan', 'dukung', 'prabowo', 'capres', 'pan', 'bicara', 'pos', 'wapres']",nyata dukung prabowo capres pan bicara pos wapres
pdip dinilai berat untuk koalisi dengan prabowo,Politik,"['pdip', 'dinilai', 'berat', 'koalisi', 'prabowo']",pdip nilai berat koalisi prabowo
pkb sebut sikap pdip bijaksana dukung pemerintah tanpa masuk koalisi,Politik,"['pkb', 'sikap', 'pdip', 'bijaksana', 'dukung', 'pemerintah', 'masuk', 'koalisi']",pkb sikap pdip bijaksana dukung perintah masuk koalisi
analisis pakar di balik pertemuan prabowo dan megawati di teuku umar,Politik,"['analisis', 'pakar', 'pertemuan', 'prabowo', 'megawati', 'teuku', 'umar']",analisis pakar temu prabowo megawati teuku umar
pengakuan prabowo soal komunikasi pemerintah masih kurang,Politik,"['pengakuan', 'prabowo', 'komunikasi', 'pemerintah']",aku prabowo komunikasi perintah
di balik layar blakblakan prabowo bersama  jurnalis,Politik,"['layar', 'blakblakan', 'prabowo', 'jurnalis']",layar blakblakan prabowo jurnalis
video pandangan surya paloh soal parpol banyak menuntut tapi minim kontribusi,Politik,"['video', 'pandangan', 'surya', 'paloh', 'parpol', 'menuntut', 'minim', 'kontribusi']",video pandang surya paloh parpol tuntut minim kontribusi
kesepakatan pertemuan prabowo dan megawati secepatnya,Politik,"['kesepakatan', 'pertemuan', 'prabowo', 'megawati', 'secepatnya']",sepakat temu prabowo megawati cepat
kekompakan puan dan didit unggah momen silaturahmi di rumah mega,Politik,"['kekompakan', 'puan', 'didit', 'unggah', 'momen', 'silaturahmi', 'rumah', 'mega']",kompak puan didit unggah momen silaturahmi rumah mega
tandatanda terbaru rencana pertemuan prabowo dan megawati,Politik,"['tandatanda', 'terbaru', 'rencana', 'pertemuan', 'prabowo', 'megawati']",tandatanda baru rencana temu prabowo megawati
kabar terbaru rencana pertemuan prabowo dan megawati,Politik,"['kabar', 'terbaru', 'rencana', 'pertemuan', 'prabowo', 'megawati']",kabar baru rencana temu prabowo megawati
jalan putar balik reformasi tni,Politik,"['jalan', 'putar', 'reformasi', 'tni']",jalan putar reformasi tni
 anggota dprd medan yang berkelahi di kamar mandi berdamai,Politik,"['anggota', 'dprd', 'medan', 'berkelahi', 'kamar', 'mandi', 'berdamai']",anggota dprd medan kelah kamar mandi damai
david roni didesak dipaw buntut berkelahi sesama dewan di dprd medan,Politik,"['david', 'roni', 'didesak', 'dipaw', 'buntut', 'berkelahi', 'dewan', 'dprd', 'medan']",david roni desak dipaw buntut kelah dewan dprd medan
puan minta panas pdip versus jokowi disudahi,Politik,"['puan', 'panas', 'pdip', 'versus', 'jokowi', 'disudahi']",puan panas pdip versus jokowi sudah
penegasan puan minta panas pdip versus jokowi disudahi,Politik,"['penegasan', 'puan', 'panas', 'pdip', 'versus', 'jokowi', 'disudahi']",tegas puan panas pdip versus jokowi sudah
menerka sosok yang coba membenturkan sby dengan prabowo,Politik,"['menerka', 'sosok', 'coba', 'membenturkan', 'sby', 'prabowo']",terka sosok coba bentur sby prabowo
cemas usai anggaran lpsk dipangkas,Politik,"['cemas', 'anggaran', 'lpsk', 'dipangkas']",cemas anggar lpsk pangkas
pemangkasan anggaran keamanan saksi  korban jadi taruhan,Politik,"['pemangkasan', 'anggaran', 'keamanan', 'saksi', 'korban', 'taruhan']",mangkas anggar aman saksi korban taruh
 hal diketahui terkait pertemuan jokowi dan adik prabowo di solo,Politik,"['terkait', 'pertemuan', 'jokowi', 'adik', 'prabowo', 'solo']",kait temu jokowi adik prabowo solo
rencana athalla naufal terjun ke politik nggak mau setengahsetengah,Politik,"['rencana', 'athalla', 'naufal', 'terjun', 'politik', 'nggak', 'setengahsetengah']",rencana athalla naufal terjun politik nggak setengahsetengah
doli kurnia luncurkan forum diskusi politics  colleagues breakfast,Politik,"['doli', 'kurnia', 'luncurkan', 'forum', 'diskusi', 'politics', 'colleagues', 'breakfast']",dol kurnia luncur forum diskusi politics colleagues breakfast
ahy politik sejati adalah keteguhan menjaga idealisme dan seni perjuangan,Politik,"['ahy', 'politik', 'sejati', 'keteguhan', 'menjaga', 'idealisme', 'seni', 'perjuangan']",ahy politik sejati teguh jaga idealisme seni juang
pdip ada yang tak ingin prabowomega baikbaik saja presiden sudah tahu,Politik,"['pdip', 'prabowomega', 'baikbaik', 'presiden']",pdip prabowomega baikbaik presiden
bp taskin  tumpang tindih lembaga pengentasan kemiskinan,Politik,"['bp', 'taskin', 'tumpang', 'tindih', 'lembaga', 'pengentasan', 'kemiskinan']",bp taskin tumpang tindih lembaga entas miskin
lembaga kuyang era prabowo,Politik,"['lembaga', 'kuyang', 'era', 'prabowo']",lembaga kuyang era prabowo
sby tni aktif harus mundur jika masuk pemerintahan atau politik,Politik,"['sby', 'tni', 'aktif', 'mundur', 'masuk', 'pemerintahan', 'politik']",sby tni aktif mundur masuk perintah politik
kebahagiaan asila maisa usai pelantikan ramzi sebagai wakil bupati cianjur,Politik,"['kebahagiaan', 'asila', 'maisa', 'pelantikan', 'ramzi', 'wakil', 'bupati', 'cianjur']",bahagia asila maisa lantik ramzi wakil bupati cianjur
sekjen pdip hasto ditahan kpk tangannya diborgol,Politik,"['sekjen', 'pdip', 'hasto', 'ditahan', 'kpk', 'tangannya', 'diborgol']",sekjen pdip hasto tahan kpk tangan borgol
kesejahteraan dan integrasi politik,Politik,"['kesejahteraan', 'integrasi', 'politik']",sejahtera integrasi politik
tekateki sosok si ndablek,Politik,"['tekateki', 'sosok', 'si', 'ndablek']",tekateki sosok si ndablek
bedabeda komentar soal koalisi permanen prabowo,Politik,"['bedabeda', 'komentar', 'koalisi', 'permanen', 'prabowo']",bedabeda komentar koalisi permanen prabowo
kelakar shanty soal penampilan denny cagur jadi anggota dpr kayak kondangan,Politik,"['kelakar', 'shanty', 'penampilan', 'denny', 'cagur', 'anggota', 'dpr', 'kayak', 'kondangan']",kelakar shanty tampil denny cagur anggota dpr kayak kondangan
nasdem luncurkan program remaja bernegara harap anak muda melek politik,Politik,"['nasdem', 'luncurkan', 'program', 'remaja', 'bernegara', 'harap', 'anak', 'muda', 'melek', 'politik']",nasdem luncur program remaja negara harap anak muda melek politik
janggal kekayaan waket dprd langkat ikut disorot kpk,Politik,"['janggal', 'kekayaan', 'waket', 'dprd', 'langkat', 'disorot', 'kpk']",janggal kaya waket dprd langkat sorot kpk
jawaban prabowo saat diminta gerindra maju capres lagi di ,Politik,"['prabowo', 'gerindra', 'maju', 'capres']",prabowo gerindra maju capres
menerka sosok yang ingin pisahkan prabowo dengan jokowi,Politik,"['menerka', 'sosok', 'pisahkan', 'prabowo', 'jokowi']",terka sosok pisah prabowo jokowi
kata prabowo ada yang ingin pisahkan dirinya dengan jokowi,Politik,"['prabowo', 'pisahkan', 'jokowi']",prabowo pisah jokowi
sebut ada yang mau pisahkan dirinya dengan jokowi prabowo singgung pecah belah,Politik,"['pisahkan', 'jokowi', 'prabowo', 'singgung', 'pecah', 'belah']",pisah jokowi prabowo singgung pecah belah
bobbysurya kunjungi kantor gubsu insyaallah tempat kami berkantor nantinya,Politik,"['bobbysurya', 'kunjungi', 'kantor', 'gubsu', 'insyaallah', 'berkantor']",bobbysurya kunjung kantor gubsu insyaallah kantor
isu reshuffle mencuat usai prabowo sentil anak buah ndablek,Politik,"['isu', 'reshuffle', 'mencuat', 'prabowo', 'sentil', 'anak', 'buah', 'ndablek']",isu reshuffle cuat prabowo sentil anak buah ndablek
sesat pikir hak kelola pertambangan untuk kampus,Politik,"['sesat', 'pikir', 'hak', 'kelola', 'pertambangan', 'kampus']",sesat pikir hak kelola tambang kampus
kebut aturan tambang masuk kampus,Politik,"['kebut', 'aturan', 'tambang', 'masuk', 'kampus']",kebut atur tambang masuk kampus
survei indikator  responden puas  hari kinerja prabowo,Politik,"['survei', 'indikator', 'responden', 'puas', 'kinerja', 'prabowo']",survei indikator responden puas kerja prabowo
cinta kuya lebih minat jadi perawat ketimbang politisi,Politik,"['cinta', 'kuya', 'minat', 'perawat', 'ketimbang', 'politisi']",cinta kuya minat awat ketimbang politis
ancangancang kepala daerah tak sengketa di mk dilantik  februari,Politik,"['ancangancang', 'kepala', 'daerah', 'sengketa', 'mk', 'dilantik', 'februari']",ancangancang kepala daerah sengketa mk lantik februari
bila prabowomegawati berkongsi,Politik,"['prabowomegawati', 'berkongsi']",prabowomegawati kongsi
jokowi memudar pdi perjuangan melunak,Politik,"['jokowi', 'memudar', 'pdi', 'perjuangan', 'melunak']",jokowi pudar pdi juang lunak
verrell bramasta minta jangan salah paham soal ajak fuji ke dpr,Politik,"['verrell', 'bramasta', 'salah', 'paham', 'ajak', 'fuji', 'dpr']",verrell bramasta salah paham ajak fuji dpr
kursinya disiapkan jokowi tegaskan tak ada undangan hut mkgr,Politik,"['kursinya', 'disiapkan', 'jokowi', 'tegaskan', 'undangan', 'hut', 'mkgr']",kursi siap jokowi tegas undang hut mkgr
muzani sebut pdip tak ke manamana dan dukung prabowo senior pdip tak meleset,Politik,"['muzani', 'pdip', 'manamana', 'dukung', 'prabowo', 'senior', 'pdip', 'meleset']",muzani pdip manamana dukung prabowo senior pdip meleset
mengapa begitu sulit menangkap harun masiku,Politik,"['sulit', 'menangkap', 'harun', 'masiku']",sulit tangkap harun mas
ppi soal anies akan buat ormas cara eksis menuju pilpres ,Politik,"['ppi', 'anies', 'ormas', 'eksis', 'pilpres']",ppi anies ormas eks pilpres
peran penting politik untuk kiai dan instrumen penentu kebijakan,Politik,"['peran', 'politik', 'kiai', 'instrumen', 'penentu', 'kebijakan']",peran politik kiai instrumen tentu bijak
cerita vicky kapok ajak orang terjun ke politik berawal dari dede sunandar,Politik,"['cerita', 'vicky', 'kapok', 'ajak', 'orang', 'terjun', 'politik', 'dede', 'sunandar']",cerita vicky kapok ajak orang terjun politik dede sunandar
dede sunandar tak menyesal dijerumuskan vicky prasetyo untuk nyaleg,Politik,"['dede', 'sunandar', 'menyesal', 'dijerumuskan', 'vicky', 'prasetyo', 'nyaleg']",dede sunandar sesal jerumus vicky prasetyo nyaleg
kata ppp jabar soal ambang batas pencalonan presiden dihapus mk,Politik,"['ppp', 'jabar', 'ambang', 'batas', 'pencalonan', 'presiden', 'dihapus', 'mk']",ppp jabar ambang batas calon presiden hapus mk
ragam komentar kala ahok dan anies akrab,Politik,"['ragam', 'komentar', 'ahok', 'anies', 'akrab']",ragam komentar ahok anies akrab
presidential threshold hilang pdip akan bikin rekayasa konstitusional koalisi,Politik,"['presidential', 'threshold', 'hilang', 'pdip', 'bikin', 'rekayasa', 'konstitusional', 'koalisi']",presidential threshold hilang pdip bikin rekayasa konstitusional koalisi
